Ticker,CIK,Company,Exchange,Country,Currency,Sector,Industry,MarketCap,Price,UpdatedAt,BidPrice,AskPrice,BidSize,AskSize,AfterHoursVolume,QuoteTimestamp,Spread,SpreadPct
MIMI,0001998560,Mint Incorporation Limited,NASDAQ,HK,USD,Industrials,Engineering & Construction,44277587.0,1.77,2025-11-05T12:38:51.410970,1.77,1.79,300.0,103.0,0.0,2025-11-05T12:37:28Z,0.020000000000000018,1.1235955056179785
NTWO,0002028027,Newbury Street II Acquisition Corp,NASDAQ,US,USD,Financial Services,Shell Companies,187723051.0,10.43,2025-11-05T12:38:51.411185,10.34,10.52,900.0,1684.0,7931.0,2025-11-05T00:48:32Z,0.17999999999999972,1.7257909875359512
ARAY,0001138723,Accuray Incorporated,NASDAQ,US,USD,Healthcare,Medical - Devices,155459070.0,1.38,2025-11-05T12:38:51.411519,1.4,1.42,5.0,3677.0,0.0,2025-11-05T12:39:54Z,0.020000000000000018,1.4184397163120581
SRFM,0001936224,Surf Air Mobility Inc.,NYSE,US,USD,Industrials,"Airlines, Airports & Air Services",115969314.0,3.44,2025-11-05T12:38:51.411654,3.42,3.52,8300.0,1100.0,0.0,2025-11-04T21:00:02Z,0.10000000000000009,2.881844380403461
SPCE,0001706946,"Virgin Galactic Holdings, Inc.",NYSE,US,USD,Industrials,Aerospace & Defense,201568378.0,3.5,2025-11-05T12:38:51.412312,3.52,3.53,6257.0,3400.0,0.0,2025-11-05T12:40:10Z,0.009999999999999787,0.2836879432624053
LODE,0001120970,Comstock Inc.,AMEX,US,USD,Real Estate,Real Estate - Services,99230498.0,2.76,2025-11-05T12:38:51.412369,2.77,2.83,5.0,2.0,0.0,2025-11-05T12:39:26Z,0.06000000000000005,2.142857142857145
BRCC,0001891101,BRC Inc.,NYSE,US,USD,Consumer Defensive,Packaged Foods,275924397.0,1.32,2025-11-05T12:38:51.412423,1.34,1.37,8.0,67.0,0.0,2025-11-05T12:38:24Z,0.030000000000000027,2.214022140221404
ETHM,0002028699,Dynamix Corporation Class A Ordinary Shares,NASDAQ,US,USD,Financial Services,Financial - Conglomerates,171146000.0,10.31,2025-11-05T12:38:51.412506,10.26,10.34,2332.0,1000.0,148.0,2025-11-05T12:38:42Z,0.08000000000000007,0.7766990291262142
RDNW,0001596961,"RideNow Group, Inc.",NASDAQ,US,USD,Consumer Cyclical,Auto - Dealerships,140988986.0,3.71,2025-11-05T12:38:51.412569,3.63,3.74,100.0,18.0,15873.0,2025-10-20T17:37:29Z,0.11000000000000032,2.9850746268656803
MIST,0001408443,Milestone Pharmaceuticals Inc.,NASDAQ,CA,USD,Healthcare,Biotechnology,156389440.0,1.84,2025-11-05T12:38:51.412714,1.8,1.88,2462.0,9844.0,0.0,2025-11-05T12:40:06Z,0.07999999999999985,4.347826086956514
MBOT,0000883975,Microbot Medical Inc.,NASDAQ,US,USD,Healthcare,Medical - Instruments & Supplies,92052273.0,2.02,2025-11-05T12:38:51.413180,2.02,2.04,841.0,500.0,51953.0,2025-11-05T12:39:16Z,0.020000000000000018,0.985221674876848
AVR,0002011514,Anteris Technologies Global Corp.,NASDAQ,AU,USD,Healthcare,Medical - Devices,153986320.0,4.27,2025-11-05T12:38:51.413956,4.22,4.33,1.0,1.0,0.0,2025-11-04T21:00:01Z,0.11000000000000032,2.5730994152046858
EGHA,0002052547,EGH Acquisition Corp. Class A Ordinary Shares,NASDAQ,US,USD,Financial Services,Shell Companies,156860000.0,10.12,2025-11-05T12:38:51.414624,10.1,10.12,4.0,1.0,9.0,2025-11-04T21:00:00Z,0.019999999999999574,0.19782393669633605
SDA,0001936804,SunCar Technology Group Inc.,NASDAQ,CN,USD,Consumer Cyclical,Auto - Dealerships,189740758.0,1.86,2025-11-05T12:38:51.414757,1.79,1.87,2300.0,201.0,81922.0,2025-11-05T12:39:20Z,0.08000000000000007,4.371584699453555
AREC,0001590715,American Resources Corporation,NASDAQ,US,USD,Energy,Coal,326175200.0,3.95,2025-11-05T12:38:51.415214,3.95,4.0,1128.0,200.0,0.0,2025-11-05T12:38:52Z,0.04999999999999982,1.2578616352201213
CDXS,0001200375,"Codexis, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,174221740.0,2.17,2025-11-05T12:38:51.415507,2.14,2.15,1.0,42.0,945864.0,2025-11-05T09:01:14Z,0.009999999999999787,0.46620046620045624
KULR,0001662684,"KULR Technology Group, Inc.",AMEX,US,USD,Technology,"Hardware, Equipment & Parts",135762713.0,3.3,2025-11-05T12:38:51.415559,3.27,3.3,19.0,100.0,0.0,2025-11-05T12:39:20Z,0.029999999999999805,0.9132420091324142
GSHR,0002044635,Gesher Acquisition Corp. II,NASDAQ,US,USD,Financial Services,Shell Companies,209654607.0,10.25,2025-11-05T12:38:51.415852,10.2,10.25,1.0,1.0,103.0,2025-11-04T21:00:00Z,0.05000000000000071,0.48899755501223185
INSE,0001615063,"Inspired Entertainment, Inc.",NASDAQ,US,USD,Consumer Cyclical,"Gambling, Resorts & Casinos",204326595.0,7.59,2025-11-05T12:38:51.416217,7.55,7.65,1000.0,23.0,165108.0,2025-11-05T12:40:02Z,0.10000000000000053,1.3157894736842175
TLSA,0001723069,Tiziana Life Sciences Ltd,NASDAQ,GB,USD,Healthcare,Biotechnology,100316700.0,1.8,2025-11-05T12:38:51.416365,1.72,1.8,4.0,1478.0,114556.0,2025-11-05T12:39:24Z,0.08000000000000007,4.545454545454549
LTRX,0001114925,"Lantronix, Inc.",NASDAQ,US,USD,Technology,Communication Equipment,182566623.0,4.66,2025-11-05T12:38:51.416762,4.58,4.68,487.0,13.0,235429.0,2025-11-05T12:39:03Z,0.09999999999999964,2.1598272138228864
BTCS,0001436229,BTCS Inc.,NASDAQ,US,USD,Financial Services,Financial - Capital Markets,148483084.0,3.09,2025-11-05T12:38:51.416802,3.1,3.19,600.0,250.0,16863.0,2025-11-05T12:40:17Z,0.08999999999999986,2.861685214626387
SLS,0001390478,"SELLAS Life Sciences Group, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,174970916.0,1.66,2025-11-05T12:38:51.417151,1.67,1.7,4406.0,2700.0,0.0,2025-11-05T12:39:42Z,0.030000000000000027,1.7804154302670638
OACC,0002029769,Oaktree Acquisition Corp. III Life Sciences,NASDAQ,US,USD,Financial Services,Shell Companies,262228662.0,10.6,2025-11-05T12:38:51.417211,10.43,10.64,2.0,4.0,130.0,2025-11-04T21:00:00Z,0.21000000000000085,1.993355481727583
JAKK,0001009829,"JAKKS Pacific, Inc.",NASDAQ,US,USD,Consumer Cyclical,Leisure,186965207.0,16.81,2025-11-05T12:38:51.417631,16.78,16.92,119.0,188.0,127268.0,2025-11-05T09:01:13Z,0.14000000000000057,0.8308605341246323
TVRD,0001742947,"Tvardi Therapeutics, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,41162774.0,4.39,2025-11-05T12:38:51.417886,4.3,4.39,210.0,35.0,138902.0,2025-11-05T12:39:12Z,0.08999999999999986,2.07134637514384
CHRS,0001512762,"Coherus Oncology, Inc.",NASDAQ,US,USD,Healthcare,Biotechnology,180152276.0,1.55,2025-11-05T12:38:51.418020,1.55,1.6,1.0,1015.0,1589588.0,2025-11-05T12:40:12Z,0.050000000000000044,3.174603174603177
CZWI,0001367859,"Citizens Community Bancorp, Inc.",NASDAQ,US,USD,Financial Services,Banks - Regional,159306481.0,16.14,2025-11-05T12:38:51.418180,16.07,16.21,9.0,1.0,35701.0,2025-11-05T00:57:05Z,0.14000000000000057,0.867410161090462
BACC,0002059654,Blue Acquisition Corp.,NASDAQ,US,USD,Financial Services,Asset Management,281578971.0,10.07,2025-11-05T12:38:51.418786,10.03,10.07,2.0,1.0,6421.0,2025-11-04T21:00:00Z,0.040000000000000924,0.3980099502487654
AACB,0002034334,Artius II Acquisition Inc. Class A Ordinary Shares,NASDAQ,US,USD,Financial Services,Shell Companies,283115230.0,10.23,2025-11-05T12:38:51.419038,10.09,10.23,8.0,4.0,73.0,2025-11-03T21:00:00Z,0.14000000000000057,1.3779527559055174
FNKO,0001704711,"Funko, Inc.",NASDAQ,US,USD,Consumer Cyclical,Leisure,161964028.0,2.96,2025-11-05T12:38:51.419610,2.93,3.0,3.0,3.0,1097884.0,2025-11-04T21:00:01Z,0.06999999999999984,2.3608768971332155
FFAI,0001805521,Faraday Future Intelligent Electric Inc.,NASDAQ,US,USD,Consumer Cyclical,Auto - Manufacturers,128146250.0,1.24,2025-11-05T12:38:51.419868,1.24,1.25,6881.0,100.0,7047486.0,2025-11-05T12:39:51Z,0.010000000000000009,0.8032128514056232
CIO,0001593222,"City Office REIT, Inc.",NYSE,US,USD,Real Estate,REIT - Office,278509116.0,6.9,2025-11-05T12:38:51.420911,6.88,6.94,5.0,33.0,114075.0,2025-11-05T12:38:35Z,0.0600000000000005,0.8683068017366208
APAD,0001988891,A Paradise Acquisition Corp. Class A Ordinary Shares,NASDAQ,HK,USD,Financial Services,Shell Companies,205794000.0,9.99,2025-11-05T12:38:51.421269,9.89,9.99,2.0,1.0,107642.0,2025-11-04T21:00:00Z,0.09999999999999964,1.0060362173038193
MRT,0001852767,"Marti Technologies, Inc.",AMEX,TR,USD,Technology,Software - Application,201054431.0,2.58,2025-11-05T12:38:51.421888,2.58,2.6,105.0,100.0,0.0,2025-11-05T12:40:04Z,0.020000000000000018,0.7722007722007729
NAMM,0002026514,Namib Minerals Ordinary Shares,NASDAQ,KY,USD,Basic Materials,Gold,90178081.0,1.68,2025-11-05T12:38:51.422586,1.65,1.7,205.0,620.0,129615.0,2025-11-05T12:39:36Z,0.050000000000000044,2.985074626865675
TAVI,0002020385,Tavia Acquisition Corp.,NASDAQ,KY,USD,Financial Services,Shell Companies,165532085.0,10.3972,2025-11-05T12:38:51.422779,10.41,10.4981,2.0,4.0,14941.0,2025-10-31T20:00:00Z,0.08810000000000073,0.8427355905127748
ONCH,0002065603,1RT Acquisition Corp.,NASDAQ,US,USD,Financial Services,Shell Companies,178710000.0,10.36,2025-11-05T12:38:51.423080,10.18,10.36,1.0,1.0,26157.0,2025-11-04T21:00:00Z,0.17999999999999972,1.752677702044788
HVII,0001846416,Hennessy Capital Investment Corp. VII,NASDAQ,US,USD,Financial Services,Financial - Conglomerates,271943799.0,10.45,2025-11-05T12:38:51.423156,10.4,10.5,411.0,1000.0,80688.0,2025-11-05T12:39:35Z,0.09999999999999964,0.9569377990430589
LOGC,0002064307,ContextLogic Inc.,NASDAQ,US,USD,Consumer Cyclical,Specialty Retail,202784971.0,7.6,2025-11-05T12:38:51.423213,7.52,7.6,3204.0,910.0,21875.0,2025-11-04T21:00:00Z,0.08000000000000007,1.0582010582010593
