CIK,Ticker,FilingDate,FilingURL,ItemsPresent,IsCatalyst,CatalystType,Tier1Type,Tier1Trigger,IsDilution,DilutionTags,IgnoreReason
0001758766,STEM,2025-03-07,https://www.sec.gov/Archives/edgar/data/1758766/000119312525049919/0001193125-25-049919.txt,5.02,True,Tier-2,,,False,,
0001758766,STEM,2025-02-25,https://www.sec.gov/Archives/edgar/data/1758766/000119312525035289/0001193125-25-035289.txt,5.02,False,NONE,,,True,UNDERWRITTEN,
0001758766,STEM,2025-01-21,https://www.sec.gov/Archives/edgar/data/1758766/000119312525009557/0001193125-25-009557.txt,5.02,True,Tier-2,,,False,,
0001436229,BTCS,2025-02-07,https://www.sec.gov/Archives/edgar/data/1436229/000149315225005303/0001493152-25-005303.txt,5.02,True,Tier-2,,,False,,
0001436229,BTCS,2025-01-02,https://www.sec.gov/Archives/edgar/data/1436229/000149315225000077/0001493152-25-000077.txt,3.02;5.02;3.02;5.02;9.01,False,NONE,,,True,ATM,
0001436229,BTCS,2024-12-04,https://www.sec.gov/Archives/edgar/data/1436229/000149315224048668/0001493152-24-048668.txt,8.01;9.01,True,Tier-1,FUNDED_AWARD,2.,False,,
0000738214,AMTX,2025-02-28,https://www.sec.gov/Archives/edgar/data/738214/000143774925005737/0001437749-25-005737.txt,1.01,False,NONE,,,True,WARRANTS,
0000738214,AMTX,2025-01-23,https://www.sec.gov/Archives/edgar/data/738214/000143774925001731/0001437749-25-001731.txt,5.02,True,Tier-2,,,False,,
0001227636,STIM,2025-03-04,https://www.sec.gov/Archives/edgar/data/1227636/000119312525044451/0001193125-25-044451.txt,5.02,False,NONE,,,True,ATM,Non-binding LOI
0001341318,LSBK,2025-02-05,https://www.sec.gov/Archives/edgar/data/1341318/000095017025014480/0000950170-25-014480.txt,5.02;9.01,True,Tier-2,,,False,,
0001662684,KULR,2017-06-12,https://www.sec.gov/Archives/edgar/data/1662684/000110465925004538/0001104659-25-004538.txt,3.02;5.02;9.01,False,NONE,,,True,CONVERT,
0001842566,AISP,2025-03-07,https://www.sec.gov/Archives/edgar/data/1842566/000165495425002466/0001654954-25-002466.txt,5.02,False,NONE,,,True,WARRANTS,
0001842566,AISP,2024-12-31,https://www.sec.gov/Archives/edgar/data/1842566/000165495424016010/0001654954-24-016010.txt,8.01;8.01;9.01,False,NONE,,,True,WARRANTS,
0001842566,AISP,2024-11-20,https://www.sec.gov/Archives/edgar/data/1842566/000165495424014706/0001654954-24-014706.txt,7.01;7.01;9.01,False,NONE,,,True,WARRANTS,
0001540684,ATLX,2024-11-29,https://www.sec.gov/Archives/edgar/data/1540684/000149315224048192/0001493152-24-048192.txt,8.01,False,NONE,,,True,UNDERWRITTEN,
0001737995,STSS,2024-12-23,https://www.sec.gov/Archives/edgar/data/1737995/000149315224051866/0001493152-24-051866.txt,8.01,False,NONE,,,True,WARRANTS,
0001200375,CDXS,2025-01-16,https://www.sec.gov/Archives/edgar/data/1200375/000119312525007775/0001193125-25-007775.txt,5.02,True,Tier-2,,,False,,
0001200375,CDXS,2024-10-22,https://www.sec.gov/Archives/edgar/data/1200375/000119312524241035/0001193125-24-241035.txt,5.02,True,Tier-2,,,False,,
0001362190,AEYE,2025-01-24,https://www.sec.gov/Archives/edgar/data/1362190/000110465925006040/0001104659-25-006040.txt,8.01,True,Tier-1,FUNDED_AWARD,$12.5 million,False,,
0001301236,SOHO,2024-05-16,https://www.sec.gov/Archives/edgar/data/1301236/000095017024121865/0000950170-24-121865.txt,8.01,True,Tier-1,FUNDED_AWARD,$0.01,False,,
0001404281,ELDN,2024-12-20,https://www.sec.gov/Archives/edgar/data/1404281/000095017024138782/0000950170-24-138782.txt,5.02;9.01,True,Tier-2,,,False,,
0001386301,RSSS,2024-12-05,https://www.sec.gov/Archives/edgar/data/1386301/000110465924125898/0001104659-24-125898.txt,8.01,True,Tier-1,FUNDED_AWARD,$0.001,False,,
