url,form_type,status,note,source,extra
https://www.sec.gov/Archives/edgar/data/1786286/000149315225018834/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225018834/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225018297/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225018297/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225017815/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225017815/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225017794/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225017794/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225017717/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225017717/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225017623/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225017623/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225016255/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225016255/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225013714/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225013714/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225012592/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225012592/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225012426/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225012426/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225012321/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225012321/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011818/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011818/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011811/form6-k.htm?form=6-K,6-K,Incomplete,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011811/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011743/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011743/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011616/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011616/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011529/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011529/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225020460/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225020460/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011292/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011292/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000149315225011290/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000149315225011290/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225015812/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225015812/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225015374/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225015374/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014919/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014919/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014822/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014822/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014642/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014642/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014478/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014478/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225014259/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225014259/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225013747/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225013747/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1786286/000164117225013575/form6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1786286/000164117225013575/form6-k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007161/d12047016_6k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007161/d12047016_6k.htm?form=6-K,,path=edgar_financials
https://www.sec.gov/Archives/edgar/data/1318885/000091957425007149/d12045236_6-k.htm?form=6-K,6-K,Missing OCF,values parsed from EDGAR XBRL: https://www.sec.gov/Archives/edgar/data/1318885/000091957425007149/d12045236_6-k.htm?form=6-K,,path=edgar_financials
